index,datetime,text,origin,rnd
11,2019-11-14T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,10
12,2019-11-15T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,5
13,2019-11-16T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,7
14,2019-11-17T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,10
15,2019-11-18T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,10
16,2019-11-19T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,10
17,2019-11-20T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,5
18,2019-11-21T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,4
19,2019-11-22T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,9
20,2019-11-23T22:46:09+02:00,text is 2019-11-03T22:46:09+02:00,csv,6
